,Attribute,Importance
33,zipcode_98039,1164413.8880105978
16,zipcode_98004,684555.7052068773
53,zipcode_98112,528599.1369442835
34,zipcode_98040,468786.03840396577
7,waterfront_1,423098.60154166806
11,view_4,422488.4400091777
49,zipcode_98105,413003.57956285204
47,zipcode_98102,385323.9875350977
52,zipcode_98109,357293.36544532224
58,zipcode_98119,351661.4535945601
30,zipcode_98033,325371.60958264157
67,zipcode_98199,295779.3019808128
17,zipcode_98005,272050.2026946073
55,zipcode_98116,271852.10884714534
54,zipcode_98115,270921.0159802496
56,zipcode_98117,256888.0048712974
51,zipcode_98107,254564.190564457
18,zipcode_98006,248760.0241984767
48,zipcode_98103,242078.32543191838
59,zipcode_98122,227517.6730331579
29,zipcode_98029,223281.3359711038
63,zipcode_98136,222723.45016383287
44,zipcode_98075,217775.37349646667
20,zipcode_98008,211452.247366523
38,zipcode_98053,209905.21988289643
10,view_3,202985.2301250362
64,zipcode_98144,202935.420334064
37,zipcode_98052,200019.02028489794
19,zipcode_98007,199548.0653752915
43,zipcode_98074,187280.43849687767
61,zipcode_98126,171419.8995604706
31,zipcode_98034,170667.3011657609
26,zipcode_98024,167152.62781630494
36,zipcode_98045,166210.09713875502
27,zipcode_98027,164262.84468576053
66,zipcode_98177,154780.20241310075
45,zipcode_98077,151029.68012709846
42,zipcode_98072,143192.293085234
41,zipcode_98065,138784.7987929459
2,sqft_living_transformed,136555.86768459505
21,zipcode_98010,133256.18942345193
60,zipcode_98125,116484.89379160063
57,zipcode_98118,105544.74915703516
25,zipcode_98022,95722.84884563068
22,zipcode_98011,95630.0590629958
8,view_1,95402.23932860463
9,view_2,92578.56206458568
62,zipcode_98133,91240.77404375105
50,zipcode_98106,84233.6486357621
23,zipcode_98014,81522.8872380193
6,distanceM_transformed,80740.068966211
15,zipcode_98002,78469.97014829757
65,zipcode_98155,72808.92435937672
24,zipcode_98019,71234.12125227321
32,zipcode_98038,67442.45334664466
13,condition_5,66097.6237352014
69,basement_True,56954.74400911806
40,zipcode_98059,56859.37875248949
39,zipcode_98056,55746.266218248915
28,zipcode_98028,53218.873601190135
3,sqft_lot_transformed,46382.33403947941
68,renovated_True,45381.970997720695
46,zipcode_98092,33743.447498346985
35,zipcode_98042,33562.28943849765
1,bathrooms_transformed,28986.489157982433
5,sqft_living15_transformed,23486.327063994395
0,bedrooms_transformed,22207.93286262819
14,grade_below_avg,17104.98626896355
12,condition_4,14223.260396473313
4,yr_built_transformed,10447.058048303588
